,consumo,gasto,fbkf,expor,impor,pib,y_star,v_y_exo,v_s_exo,prem_exo
Comment,ya,ya,ya,ya,ya,ya,Actualizada,ya,ya,ya
1995Q1,,,,,,,,,,
1995Q2,,,,,,,,,,
1995Q3,,,,,,,,,,
1995Q4,,,,,,,10636.975,0,0,0
1996Q1,,,,,,,10705.575,0,0,0
1996Q2,,,,,,,10811.45,0,0,0
1996Q3,,,,,,,10919.5,0,0,0
1996Q4,,,,,,,11038.25,0,0,0
1997Q1,,,,,,,11155,0,0,0
1997Q2,,,,,,,11273.525,0,0,0
1997Q3,,,,,,,11403.275,0,0,0
1997Q4,,,,,,,11529.15,0,0,0
1998Q1,,,,,,,11666.2,0,0,0
1998Q2,,,,,,,11783.75,0,0,0
1998Q3,,,,,,,11902.825,0,0,0
1998Q4,,,,,,,12045.825,0,0,0
1999Q1,,,,,,,12188.55,0,0,0
1999Q2,,,,,,,12329.775,0,0,0
1999Q3,,,,,,,12474.975,0,0,0
1999Q4,,,,,,,12623.375,0,0,0
2000Q1,,,,,,,12754.5,0,0,0
2000Q2,,,,,,,12918.575,0,0,0
2000Q3,,,,,,,13044.55,0,0,0
2000Q4,,,,,,,13138.05,0,0,0
2001Q1,54832.43016,6418.575183,14106.60428,15560.27405,24335.15509,70113.7308,13209.05,0,0,0
2001Q2,57071.18911,6805.868415,12331.09043,17147.67273,25452.83004,66519.15016,13241.725,0,0,0
2001Q3,56882.66149,6780.196209,12563.25972,15610.658,27288.20144,66200.53347,13257.775,0,0,0
2001Q4,60616.21185,7607.154952,13195.75308,16622.77053,29108.26471,71160.08679,13263.425,0,0,0
2002Q1,56112.59884,6618.924653,14298.52817,17225.15679,23822.00642,72210.20224,13307.325,0,0,0
2002Q2,59624.70214,6187.447703,14630.94624,16321.25894,27849.99555,69906.896,13351.325,0,0,0
2002Q3,59263.14497,7703.175321,13675.01999,16547.89495,27611.12598,70185.56099,13422.225,0,0,0
2002Q4,62868.57067,7051.769755,14404.38569,15414.40974,28981.41203,73319.6758,13488.35,0,0,0
2003Q1,59337.09069,6340.754251,15572.79698,16270.40711,25849.06561,75498.76531,13544.475,0,0,0
2003Q2,61787.0029,6854.406876,13114.43964,16873.58045,25947.53467,71553.1161,13610.4,0,0,0
2003Q3,61559.77555,7067.909474,13029.74701,16825.37836,27352.5006,71767.26903,13720.025,0,0,0
2003Q4,64585.09209,6895.595058,13562.18318,15221.84671,29675.18407,74278.06,13865.525,0,0,0
2004Q1,61244.0786,5954.866125,14919.35867,17596.05945,26614.87777,76746.05515,14013.75,0,0,0
2004Q2,64244.75897,6188.386391,13152.33553,17414.93367,27849.46938,73519.79583,14159.225,0,0,0
2004Q3,63897.79161,6519.068932,12876.26777,17986.00512,29082.61609,73873.42049,14281.125,0,0,0
2004Q4,66880.19736,6714.695044,13677.47191,17459.35206,31509.72693,77658.97407,14399.675,0,0,0
2005Q1,63749.16626,6077.437797,14426.19912,18530.67071,25700.62952,79324.2458,14538.55,0,0,0
2005Q2,67377.78806,6147.138896,13679.75267,18466.00037,28512.39933,77161.30041,14667.725,0,0,0
2005Q3,66133.20599,6743.763582,14310.64448,17042.03554,29367.57803,75640.3042,14792.35,0,0,0
2005Q4,69456.23601,6924.314711,14721.06043,15443.43549,30784.00142,78923.32283,14901.25,0,0,0
2006Q1,67667.66007,6127.999358,16414.04193,18089.74385,27951.51346,83223.19721,15020.325,0,0,0
2006Q2,69320.96268,6665.684778,15944.49932,17733.59178,29184.42729,79411.58962,15130.775,0,0,0
2006Q3,69649.23351,7180.169273,16288.39751,18717.15875,31705.20504,80642.70357,15217.825,0,0,0
2006Q4,73161.49031,7316.85297,17335.7319,18178.67956,32896.83115,85111.62375,15315.925,0,0,0
2007Q1,71174.27369,6380.850681,18629.85436,20698.39666,31857.74576,88408.92485,15374.65,0,0,0
2007Q2,72844.81515,7355.412006,16664.70955,20410.46861,30831.31165,85239.6266,15448.725,0,0,0
2007Q3,73488.8159,7916.50085,17626.46628,19353.52465,33797.18363,85341.50741,15540.5,0,0,0
2007Q4,77328.94079,7983.706218,16519.21704,19226.5434,34780.22359,89262.62064,15623.875,0,0,0
2008Q1,76108.35221,6741.934169,17458.36496,20463.51391,31177.97504,90998.65933,15679.85,0,0,0
2008Q2,77374.06235,7933.578169,16391.5404,22318.92846,30674.77931,90158.84753,15733.6,0,0,0
2008Q3,77635.08501,8398.396989,15520.17272,19277.87777,31165.69956,88040.97311,15743.1,0,0,0
2008Q4,79713.55871,9821.675261,15952.97874,17257.30435,30727.85608,91808.36574,15642.975,0,0,0
2009Q1,74481.42333,7925.475714,15291.47816,19387.00206,26574.8846,90888.83963,15514.125,0,0,0
2009Q2,76957.36587,8958.703979,13770.34326,20126.30851,26255.33242,89299.5135,15356.375,0,0,0
2009Q3,78587.43866,9788.994259,13551.27047,17873.75862,29829.14395,89260.72194,15233.125,0,0,0
2009Q4,81955.3502,10953.46222,14185.77228,20486.52295,31551.3981,93838.97829,15236.275,0,0,0
2010Q1,78052.0119,8976.388543,14043.78036,21424.04508,29882.22336,93632.02545,15303.425,0,0,0
2010Q2,80341.72288,9937.363709,13559.76598,22079.8419,30543.17891,92094.38262,15414.375,0,0,0
2010Q3,79825.96726,10031.74127,13600.7004,18180.38072,31265.81999,90870.81445,15541.8,0,0,0
2010Q4,84058.44546,11611.91409,14460.88705,20705.27199,33945.04557,96885.13651,15649,0,0,0
2011Q1,81197.37871,9651.763363,13578.41399,22163.71597,31365.50991,97362.62924,15727.45,0,0,0
2011Q2,83390.50826,11085.57831,15140.05804,21790.25626,34205.58481,96241.69505,15795.25,0,0,0
2011Q3,84105.87987,10522.82841,15404.69182,19841.43332,35189.54008,96082.60102,15831.35,0,0,0
2011Q4,85998.86856,12288.76743,15554.32394,20983.09446,33632.27887,100394.9563,15891.525,0,0,0
2012Q1,84460.1636,9727.565762,13921.69401,22288.30169,33426.77068,101024.7341,15994.05,0,0,0
2012Q2,85165.01453,10702.14849,16034.97303,21696.48357,33978.94534,98853.31261,16088.275,0,0,0
2012Q3,85987.27542,11028.505,15255.28993,20884.94909,34430.86834,98464.25325,16191.15,0,0,0
2012Q4,89594.20757,13038.76301,16674.65812,21562.5593,36288.29868,104018.0125,16253.975,0,0,0
2013Q1,85760.83634,9966.533447,14299.40144,23778.67752,34315.49313,103944.1607,16319.35,0,0,0
2013Q2,88924.64053,12486.55439,15700.21566,23284.30437,36399.55297,103189.8738,16372.025,0,0,0
2013Q3,89656.06888,11643.77344,16201.33897,21766.3402,36633.42977,102342.8299,16450.15,0,0,0
2013Q4,91909.00256,12904.26299,16633.63584,22767.30709,37082.64462,106906.3558,16553.35,0,0,0
2014Q1,89478.48232,10654.61473,15055.36782,24110.73144,35014.20896,108277.2466,16606.525,0,0,0
2014Q2,92722.86022,12680.41042,16235.87114,24643.49378,37322.2853,107651.388,16707.45,0,0,0
2014Q3,93687.1952,11937.67674,16581.29693,24511.56635,37909.11965,106762.9235,16824.925,0,0,0
2014Q4,96531.30063,13437.55407,17684.06506,24676.04819,39053.11281,112195.6403,16932.025,0,0,0
2015Q1,94557.63086,11644.86724,15343.20471,25797.81854,36935.72055,113342.5998,17088.625,0,0,0
2015Q2,96657.52291,12419.76773,15390.85353,26032.89932,38866.9148,111019.813,17216.825,0,0,0
2015Q3,99786.90586,12002.91791,16213.45034,24655.10981,40723.35563,112038.2188,17309.95,0,0,0
2015Q4,100570.9481,13102.09749,17597.68643,24235.32656,38219.09577,116282.8934,17390.3,0,0,0
2016Q1,98309.87552,10839.03067,14944.89396,26201.00256,36596.89859,115247.9584,17461.525,0,0,0
2016Q2,101355.3045,11677.5296,15568.2128,26470.30129,39409.42347,115132.909,17520.95,0,0,0
2016Q3,102212.4901,11922.68652,15738.60391,25010.74724,39231.22583,114351.4183,17592.8,0,0,0
2016Q4,105639.5706,13224.34053,17180.40953,25415.15856,40965.7897,120073.2109,17680.3,0,0,0
2017Q1,102510.0319,10736.49737,15549.78052,27502.82118,38392.48925,120677.4596,17763.075,0,0,0
2017Q2,103887.4697,11965.99499,15848.47569,26791.43006,38909.44859,117995.0557,17857.625,0,0,0
2017Q3,105457.0834,12052.15005,17081.08507,25189.77261,40081.49636,117912.7007,17958.05,0,0,0
2017Q4,109002.4726,13890.25825,17543.67855,25149.44133,43232.29708,122535.5987,18079.075,0,0,0
2018Q1,105316.6187,11424.63476,15631.62479,27265.4292,38631.72968,123976.8861,18214,0,0,0
2018Q2,108068.3805,13173.13481,17084.67502,26839.90017,42332.67357,123059.775,18362.3,0,0,0
2018Q3,109550.6435,13183.06701,17867.06987,25437.99579,42179.1793,122032.4741,18500.65,0,0,0
2018Q4,112853.0686,14573.3815,18391.14115,24702.91048,43779.30003,126374.7195,18606.8,0,0,0
2019Q1,110952.103,11829.77613,16916.07032,26513.5292,41426.41226,128691.8089,18706.025,0,0,0
2019Q2,112782.4678,13330.39044,19116.64978,26735.82606,42942.8427,127717.4658,18804.15,0,0,0
2019Q3,114056.0439,13637.62831,19318.29693,25530.91107,43871.90773,126876.364,18912.425,0,0,0
2019Q4,118276.6478,14990.22116,19774.55037,25683.02259,47076.34946,131987.4399,19032.675,0,0,0
2020Q1,112795.3975,11853.04134,16812.69827,26302.96141,42417.7422,129740.4074,19062.375,0,0,0
2020Q2,102930.723,12676.09439,15978.62355,21640.82048,35406.84143,116507.4277,18631.3,0,0,0
2020Q3,112799.3328,13632.76672,18295.66209,23473.44166,39892.02492,125202.2885,18493.325,0,0,0
2020Q4,121211.548,16445.43391,19388.64139,25014.37484,47624.39847,134733.1107,18384.7,0,0,0
2021Q1,119046.0578,11666.87632,20637.88988,26892.21542,46024.23803,135591.8682,18410.625,0,0,0
2021Q2,119436.9766,14514.27243,21001.37789,26884.16984,49716.87234,134491.3337,18938.15,0,0,0
2021Q3,122642.0293,14149.78867,22113.27448,26505.49339,50674.12707,135368.6116,19167.675,0,0,0
2021Q4,128539.9241,16997.27293,21351.15711,27413.38551,55442.26531,141128.7379,19427.3,0,0,0
2022Q1,,,,,,,19597.35,,0,0
2022Q2,,,,,,,19928.72512,,,
2022Q3,,,,,,,19937.31275,,,
2022Q4,,,,,,,19971.2644,,,
2023Q1,,,,,,,20116.67978,,,
2023Q2,,,,,,,20426.94325,,,
2023Q3,,,,,,,20405.8396,,,
2023Q4,,,,,,,20410.63222,,,
2024Q1,,,,,,,20549.18839,,,
2024Q2,,,,,,,20855.90905,,,
2024Q3,,,,,,,20824.15932,,,
2024Q4,,,,,,,20818.84486,,,
2025Q1,,,,,,,,,,
2025Q2,,,,,,,,,,
2025Q3,,,,,,,,,,
2025Q4,,,,,,,,,,
2026Q1,,,,,,,,,,
2026Q2,,,,,,,,,,
2026Q3,,,,,,,,,,
2026Q4,,,,,,,,,,
2027Q1,,,,,,,,,,
2027Q2,,,,,,,,,,
2027Q3,,,,,,,,,,
2027Q4,,,,,,,,,,
